date,cat_personal_security
2008m1,-.1929585
2008m2,-.4328571
2008m3,-.5890032
2008m4,-.6743565
2008m5,-.8624158
2008m6,-1.222786
2008m7,-1.333453
2008m8,-1.281636
2008m9,-.8706728
2008m10,-.2983462
2008m11,.0616924
2008m12,.0927362
2009m1,.1001327
2009m2,.211701
2009m3,.2089497
2009m4,.1724287
2009m5,-.1352316
2009m6,-.5719971
2009m7,-.7815393
2009m8,-.7185046
2009m9,-.2685006
2009m10,.2480943
2009m11,.6275325
2009m12,.5401185
2010m1,.4166006
2010m2,.2993288
2010m3,.3180065
2010m4,.223682
2010m5,-.1365971
2010m6,-.6939389
2010m7,-1.090117
2010m8,-1.082136
2010m9,-.74447
2010m10,-.3674296
2010m11,-.052248
2010m12,-.1400921
2011m1,-.2397728
2011m2,-.2142749
2011m3,-.2093112
2011m4,-.2262763
2011m5,-.3512575
2011m6,-.6669959
2011m7,-.8050928
2011m8,-.7836553
2011m9,-.5441546
2011m10,-.3704537
2011m11,-.2735257
2011m12,-.3038371
2012m1,-.2877009
2012m2,-.1704837
2012m3,-.1228485
2012m4,-.1561175
2012m5,-.2797588
2012m6,-.3192443
2012m7,-.198157
2012m8,-.4072243
2012m9,-.3899792
2012m10,.1598243
2012m11,1.379083
2012m12,2.946408
2013m1,3.27147
2013m2,2.436851
2013m3,1.655592
2013m4,1.206059
2013m5,.4149581
2013m6,-.261841
2013m7,-.4871564
2013m8,-.5664611
2013m9,-.5292724
2013m10,-.4325286
2013m11,-.3009301
2013m12,-.281746
2014m1,-.222508
2014m2,-.037761
2014m3,.1014166
2014m4,.17989
2014m5,-.0856758
2014m6,-.3036197
2014m7,-.3081634
2014m8,-.1888217
2014m9,-.0217009
2014m10,.0489346
2014m11,.1281021
2014m12,.1872387
2015m1,.1601603
2015m2,.0431993
2015m3,.022109
2015m4,-.048947
2015m5,-.176527
2015m6,-.2365951
2015m7,-.3194766
2015m8,-.2556082
2015m9,.3090767
2015m10,1.199341
2015m11,1.971643
2015m12,2.088054
2016m1,1.633113
2016m2,1.096834
2016m3,.6856202
2016m4,.0807691
