date,swb_enjoyment
2008m1,.0626907
2008m2,.1271167
2008m3,.4234745
2008m4,.6051558
2008m5,.5659896
2008m6,.4738301
2008m7,.4992324
2008m8,.2273957
2008m9,-.0400303
2008m10,-.2385108
2008m11,-.6651006
2008m12,-1.406185
2009m1,-1.874271
2009m2,-1.712295
2009m3,-1.482681
2009m4,-1.356998
2009m5,-1.197733
2009m6,-1.106792
2009m7,-.8012329
2009m8,-.6039302
2009m9,-.7225364
2009m10,-.6191383
2009m11,-.1929984
2009m12,-.1478294
2010m1,-.2586923
2010m2,.1233965
2010m3,.7160822
2010m4,.8299169
2010m5,.7637767
2010m6,.4089091
2010m7,-.4810006
2010m8,-.9674799
2010m9,-1.01834
2010m10,-.7430856
2010m11,-.5019305
2010m12,-.3920971
2011m1,.0996263
2011m2,.5762503
2011m3,.6634762
2011m4,.6172782
2011m5,.5126019
2011m6,.2094991
2011m7,-.1291045
2011m8,-.2394016
2011m9,.0113927
2011m10,.4964983
2011m11,1.006652
2011m12,1.080195
2012m1,.9500014
2012m2,1.005193
2012m3,1.285992
2012m4,1.481597
2012m5,1.522109
2012m6,1.389117
2012m7,1.093061
2012m8,.8348907
2012m9,.6079616
2012m10,.674993
2012m11,.7234489
2012m12,.8475915
2013m1,1.000063
2013m2,1.345303
2013m3,1.550279
2013m4,1.562343
2013m5,1.570867
2013m6,1.381283
2013m7,1.096921
2013m8,.8898631
2013m9,.9911826
2013m10,1.115936
2013m11,1.114953
2013m12,.9527423
2014m1,.8995003
2014m2,.974664
2014m3,1.082085
2014m4,1.186486
2014m5,1.16047
2014m6,.8026275
2014m7,.7093307
2014m8,.8107547
2014m9,.9411785
2014m10,1.230909
2014m11,1.396088
2014m12,1.473531
2015m1,1.597593
2015m2,1.77062
2015m3,1.844332
2015m4,1.753673
2015m5,1.630911
2015m6,1.317276
2015m7,1.063963
2015m8,.8695775
2015m9,.7760825
2015m10,.707635
2015m11,.6203025
2015m12,.5429758
2016m1,.5552629
2016m2,.6174306
2016m3,.5259733
2016m4,.3760398
