date,swb_worry
2008m1,-.2702921
2008m2,-.2463663
2008m3,-.2413522
2008m4,-.2710661
2008m5,-.1484998
2008m6,-.0461388
2008m7,.0312979
2008m8,.3390876
2008m9,.7595816
2008m10,1.141702
2008m11,1.510013
2008m12,1.737681
2009m1,1.844681
2009m2,1.725111
2009m3,1.525207
2009m4,1.499331
2009m5,1.453566
2009m6,1.292234
2009m7,1.170595
2009m8,1.17842
2009m9,1.32016
2009m10,1.358053
2009m11,1.187391
2009m12,1.119066
2010m1,1.094884
2010m2,1.114887
2010m3,1.100716
2010m4,1.029048
2010m5,.9617237
2010m6,.9935164
2010m7,1.126133
2010m8,1.244718
2010m9,1.311483
2010m10,1.321932
2010m11,1.329371
2010m12,1.215116
2011m1,.7026555
2011m2,.3396723
2011m3,.1984831
2011m4,.2051876
2011m5,.2950841
2011m6,.4684721
2011m7,.5833692
2011m8,.7020757
2011m9,.7397499
2011m10,.7449265
2011m11,.6393358
2011m12,.5470109
2012m1,.3966996
2012m2,.3012156
2012m3,.0699498
2012m4,-.1133638
2012m5,-.1262234
2012m6,-.0359324
2012m7,.1602593
2012m8,.458374
2012m9,.755512
2012m10,.8876458
2012m11,.8211823
2012m12,.665515
2013m1,.3931176
2013m2,.0793758
2013m3,-.1324175
2013m4,-.2259827
2013m5,-.2767293
2013m6,-.3630137
2013m7,-.5453134
2013m8,-.6306282
2013m9,-.7175464
2013m10,-.776477
2013m11,-.8052964
2013m12,-.8069363
2014m1,-.8880435
2014m2,-.9911942
2014m3,-1.085901
2014m4,-1.206521
2014m5,-1.351485
2014m6,-1.362554
2014m7,-1.260905
2014m8,-1.113323
2014m9,-1.004996
2014m10,-1.059382
2014m11,-1.116899
2014m12,-1.1595
2015m1,-1.205969
2015m2,-1.23649
2015m3,-1.23759
2015m4,-1.173036
2015m5,-1.074517
2015m6,-.8927319
2015m7,-.8274114
2015m8,-.8231752
2015m9,-.8667161
2015m10,-1.008005
2015m11,-1.212645
2015m12,-1.322046
2016m1,-1.372954
2016m2,-1.369511
2016m3,-1.277192
2016m4,-1.145321
