date,cat_healthy_habits
2008m1,-.0358834
2008m2,-.6166406
2008m3,-.8559039
2008m4,-1.071036
2008m5,-1.380262
2008m6,-1.594388
2008m7,-1.76126
2008m8,-1.949544
2008m9,-1.960999
2008m10,-1.876752
2008m11,-1.555059
2008m12,-1.066751
2009m1,-.5651082
2009m2,-.45275
2009m3,-.3507911
2009m4,-.2385122
2009m5,-.1656416
2009m6,-.2264227
2009m7,-.4104915
2009m8,-.6166351
2009m9,-.5585466
2009m10,-.2219909
2009m11,.1115191
2009m12,.6003126
2010m1,1.281786
2010m2,1.541492
2010m3,1.642166
2010m4,1.609088
2010m5,1.300584
2010m6,.829812
2010m7,.2669185
2010m8,-.199519
2010m9,-.4151243
2010m10,-.4935941
2010m11,-.3925751
2010m12,-.0755007
2011m1,.5106509
2011m2,.7729234
2011m3,.7216043
2011m4,.6284969
2011m5,.4915082
2011m6,.2740838
2011m7,-.1487283
2011m8,-.5596392
2011m9,-.7925344
2011m10,-.9286727
2011m11,-.8420519
2011m12,-.3640969
2012m1,.5495943
2012m2,1.021445
2012m3,1.077385
2012m4,.9365344
2012m5,.7311757
2012m6,.516059
2012m7,.3027302
2012m8,-.0612353
2012m9,-.4491991
2012m10,-.7910202
2012m11,-.8365329
2012m12,-.2998234
2013m1,.7352338
2013m2,1.262864
2013m3,1.483463
2013m4,1.489856
2013m5,1.10978
2013m6,.6500996
2013m7,.1577033
2013m8,-.3155878
2013m9,-.5203872
2013m10,-.6001793
2013m11,-.5893099
2013m12,-.2197471
2014m1,.5608844
2014m2,.9127081
2014m3,1.038306
2014m4,.9727339
2014m5,.764851
2014m6,.4418777
2014m7,.0601346
2014m8,-.3683329
2014m9,-.685313
2014m10,-.9155347
2014m11,-.8841417
2014m12,-.5000429
2015m1,.2896667
2015m2,.7389491
2015m3,.7894967
2015m4,.6297173
2015m5,.4120693
2015m6,.2150958
2015m7,-.0499257
2015m8,-.41053
2015m9,-.6788899
2015m10,-.8611339
2015m11,-.7809735
2015m12,-.3543113
2016m1,.4842573
2016m2,.8956192
2016m3,1.015085
2016m4,1.087236
