date,cat_job_growth
2008m1,2.939104
2008m2,2.209751
2008m3,1.980971
2008m4,1.595717
2008m5,1.028212
2008m6,.608757
2008m7,.4638737
2008m8,.5764717
2008m9,1.084456
2008m10,1.480641
2008m11,1.51382
2008m12,1.411363
2009m1,1.431398
2009m2,1.5421
2009m3,1.754141
2009m4,1.573873
2009m5,1.169981
2009m6,.8879908
2009m7,.6820341
2009m8,.7490101
2009m9,.9759492
2009m10,1.103316
2009m11,.5900524
2009m12,.2243197
2010m1,.2508247
2010m2,.5344628
2010m3,.7444241
2010m4,.7949835
2010m5,.6065403
2010m6,.0931257
2010m7,-.1436511
2010m8,-.127368
2010m9,.1264873
2010m10,.2812141
2010m11,.1589756
2010m12,-.1092598
2011m1,-.3264844
2011m2,-.2479725
2011m3,-.1273755
2011m4,-.0795855
2011m5,-.4028598
2011m6,-.8767687
2011m7,-1.190428
2011m8,-1.222166
2011m9,-1.011446
2011m10,-.6858776
2011m11,-.4598111
2011m12,-.3112812
2012m1,-.1680682
2012m2,-.1897193
2012m3,-.3405813
2012m4,-.5811645
2012m5,-.8272322
2012m6,-1.026724
2012m7,-1.066846
2012m8,-.9337243
2012m9,-.7911816
2012m10,-.7517581
2012m11,-.8593974
2012m12,-.865876
2013m1,-.7868502
2013m2,-.6645866
2013m3,-.596402
2013m4,-.5422348
2013m5,-.6811754
2013m6,-.9109417
2013m7,-.9866937
2013m8,-.8731592
2013m9,-.7073532
2013m10,-.5512345
2013m11,-.6309997
2013m12,-.8257522
2014m1,-.8550304
2014m2,-.7179102
2014m3,-.6213611
2014m4,-.5281176
2014m5,-.5884182
2014m6,-.7037936
2014m7,-.8094527
2014m8,-.8386259
2014m9,-.5592198
2014m10,-.4017699
2014m11,-.5784447
2014m12,-.6884558
2015m1,-.5314648
2015m2,-.2598741
2015m3,-.0374212
2015m4,-.0505917
2015m5,-.3610426
2015m6,-.7250503
2015m7,-.866025
2015m8,-.7361546
2015m9,-.316757
2015m10,-.0844442
2015m11,-.1024718
2015m12,-.0711515
2016m1,.0632738
2016m2,.3892017
2016m3,.9975837
2016m4,1.896641
