region,date,recherche_emploi
Pays de la Loire,2013m1,.40809995
Pays de la Loire,2013m2,.35237756
Pays de la Loire,2013m3,.56920457
Pays de la Loire,2013m4,-.38270321
Pays de la Loire,2013m5,-.22635341
Pays de la Loire,2013m6,-.17654745
Pays de la Loire,2013m7,-1.203414
Pays de la Loire,2013m8,-1.5081786
Pays de la Loire,2013m9,.46399131
Pays de la Loire,2013m10,.19830847
Pays de la Loire,2013m11,-.13546109
Pays de la Loire,2013m12,-1.0372746
Pays de la Loire,2014m1,.57169908
Pays de la Loire,2014m2,.69094718
Pays de la Loire,2014m3,.73234046
Pays de la Loire,2014m4,-.27716887
Pays de la Loire,2014m5,-.096820816
Pays de la Loire,2014m6,-.20202586
Pays de la Loire,2014m7,-.81543744
Pays de la Loire,2014m8,-.85378563
Pays de la Loire,2014m9,.8689419
Pays de la Loire,2014m10,.51588017
Pays de la Loire,2014m11,.17180617
Pays de la Loire,2014m12,-1.0004079
Pays de la Loire,2015m1,.53877819
Pays de la Loire,2015m2,.80795246
Pays de la Loire,2015m3,1.0213045
Pays de la Loire,2015m4,-.050555352
Pays de la Loire,2015m5,.13879989
Pays de la Loire,2015m6,.24658427
Pays de la Loire,2015m7,-.79234499
Pays de la Loire,2015m8,-1.0642749
Pays de la Loire,2015m9,.79311609
Pays de la Loire,2015m10,.44711846
Pays de la Loire,2015m11,-.05872409
Pays de la Loire,2015m12,-1.0260062
Pays de la Loire,2016m1,.96276963
Pays de la Loire,2016m2,1.0158477
Pays de la Loire,2016m3,.82116503
Pays de la Loire,2016m4,.056976624
Pays de la Loire,2016m5,.13826247
Pays de la Loire,2016m6,-.012229985
Pays de la Loire,2016m7,-1.256344
Pays de la Loire,2016m8,-.97719717
Pays de la Loire,2016m9,.71602702
Pays de la Loire,2016m10,.16187023
Pays de la Loire,2016m11,-.19895388
Pays de la Loire,2016m12,-1.0596799
Pays de la Loire,2017m1,.20828474
Pays de la Loire,2017m2,.54751903
Pays de la Loire,2017m3,.73605406
