region,date,terrorisme
Pays de la Loire,2013m1,-.51540524
Pays de la Loire,2013m2,-.47689897
Pays de la Loire,2013m3,-.47369727
Pays de la Loire,2013m4,-.39184284
Pays de la Loire,2013m5,-.39677793
Pays de la Loire,2013m6,-.55624962
Pays de la Loire,2013m7,-.21616274
Pays de la Loire,2013m8,-.36063713
Pays de la Loire,2013m9,-.501876
Pays de la Loire,2013m10,-.48535892
Pays de la Loire,2013m11,-.47621888
Pays de la Loire,2013m12,-.4412522
Pays de la Loire,2014m1,-.57357746
Pays de la Loire,2014m2,-.61854935
Pays de la Loire,2014m3,-.47701845
Pays de la Loire,2014m4,-.44723734
Pays de la Loire,2014m5,-.48088992
Pays de la Loire,2014m6,-.45232937
Pays de la Loire,2014m7,-.24167293
Pays de la Loire,2014m8,-.2588844
Pays de la Loire,2014m9,-.34731627
Pays de la Loire,2014m10,-.17727818
Pays de la Loire,2014m11,-.25351325
Pays de la Loire,2014m12,.13164587
Pays de la Loire,2015m1,1.276593
Pays de la Loire,2015m2,-.15841368
Pays de la Loire,2015m3,-.19144775
Pays de la Loire,2015m4,-.016448313
Pays de la Loire,2015m5,-.11723351
Pays de la Loire,2015m6,-.07595282
Pays de la Loire,2015m7,.20171539
Pays de la Loire,2015m8,-.091083422
Pays de la Loire,2015m9,-.31361023
Pays de la Loire,2015m10,-.0098621147
Pays de la Loire,2015m11,4.4053669
Pays de la Loire,2015m12,.18087457
Pays de la Loire,2016m1,.085215934
Pays de la Loire,2016m2,.10545214
Pays de la Loire,2016m3,.77909899
Pays de la Loire,2016m4,-.010646608
Pays de la Loire,2016m5,-.13474859
Pays de la Loire,2016m6,.21490856
Pays de la Loire,2016m7,1.7380086
Pays de la Loire,2016m8,.4243387
Pays de la Loire,2016m9,.14239556
Pays de la Loire,2016m10,.035285376
Pays de la Loire,2016m11,-.19831409
Pays de la Loire,2016m12,.21344393
Pays de la Loire,2017m1,.073320486
Pays de la Loire,2017m2,.076577596
Pays de la Loire,2017m3,.25669393
