region,date,immigration
Rhone-Alpes,2013m1,.2646921
Rhone-Alpes,2013m2,-.31350422
Rhone-Alpes,2013m3,.16653967
Rhone-Alpes,2013m4,-.37163353
Rhone-Alpes,2013m5,-.03653406
Rhone-Alpes,2013m6,-.68744242
Rhone-Alpes,2013m7,-1.1135635
Rhone-Alpes,2013m8,-.60896361
Rhone-Alpes,2013m9,-.069512472
Rhone-Alpes,2013m10,.32790011
Rhone-Alpes,2013m11,.21162757
Rhone-Alpes,2013m12,-.031410579
Rhone-Alpes,2014m1,-.25642806
Rhone-Alpes,2014m2,-.10092182
Rhone-Alpes,2014m3,-.18665986
Rhone-Alpes,2014m4,-.14214635
Rhone-Alpes,2014m5,-.064766303
Rhone-Alpes,2014m6,-.90038991
Rhone-Alpes,2014m7,-.69563425
Rhone-Alpes,2014m8,-.56381851
Rhone-Alpes,2014m9,.46436045
Rhone-Alpes,2014m10,.43252569
Rhone-Alpes,2014m11,.5216431
Rhone-Alpes,2014m12,-.17231597
Rhone-Alpes,2015m1,.039806712
Rhone-Alpes,2015m2,-.46993706
Rhone-Alpes,2015m3,-.045862354
Rhone-Alpes,2015m4,.18105946
Rhone-Alpes,2015m5,-.074303672
Rhone-Alpes,2015m6,-.28560701
Rhone-Alpes,2015m7,-.55155194
Rhone-Alpes,2015m8,.10189562
Rhone-Alpes,2015m9,2.8283834
Rhone-Alpes,2015m10,.77549601
Rhone-Alpes,2015m11,.64666402
Rhone-Alpes,2015m12,.12661913
Rhone-Alpes,2016m1,.41493014
Rhone-Alpes,2016m2,.12745394
Rhone-Alpes,2016m3,-.14715603
Rhone-Alpes,2016m4,-.085236832
Rhone-Alpes,2016m5,.17811839
Rhone-Alpes,2016m6,-.72941726
Rhone-Alpes,2016m7,-.65651917
Rhone-Alpes,2016m8,-.46946836
Rhone-Alpes,2016m9,.49976966
Rhone-Alpes,2016m10,.97541714
Rhone-Alpes,2016m11,.47505721
Rhone-Alpes,2016m12,-.054578595
Rhone-Alpes,2017m1,.083075427
Rhone-Alpes,2017m2,.25486296
Rhone-Alpes,2017m3,-.22906508
