region,date,protectionnisme
Rhone-Alpes,2013m1,.38936543
Rhone-Alpes,2013m2,-.036881637
Rhone-Alpes,2013m3,.095389634
Rhone-Alpes,2013m4,-.13800095
Rhone-Alpes,2013m5,.12358201
Rhone-Alpes,2013m6,.0060392679
Rhone-Alpes,2013m7,-1.2234586
Rhone-Alpes,2013m8,-1.0853488
Rhone-Alpes,2013m9,.16344322
Rhone-Alpes,2013m10,.66319418
Rhone-Alpes,2013m11,.75465155
Rhone-Alpes,2013m12,.0069255158
Rhone-Alpes,2014m1,.28719139
Rhone-Alpes,2014m2,.064723007
Rhone-Alpes,2014m3,.000087738408
Rhone-Alpes,2014m4,.11311925
Rhone-Alpes,2014m5,-.017993473
Rhone-Alpes,2014m6,-.22280908
Rhone-Alpes,2014m7,-1.5072165
Rhone-Alpes,2014m8,-1.2653502
Rhone-Alpes,2014m9,.28534034
Rhone-Alpes,2014m10,.68685728
Rhone-Alpes,2014m11,1.2761744
Rhone-Alpes,2014m12,.61509317
Rhone-Alpes,2015m1,.21019508
Rhone-Alpes,2015m2,.067070603
Rhone-Alpes,2015m3,.1648805
Rhone-Alpes,2015m4,.084906504
Rhone-Alpes,2015m5,.18463364
Rhone-Alpes,2015m6,-.30575314
Rhone-Alpes,2015m7,-1.226586
Rhone-Alpes,2015m8,-1.4641755
Rhone-Alpes,2015m9,.015136588
Rhone-Alpes,2015m10,.93976706
Rhone-Alpes,2015m11,.85168958
Rhone-Alpes,2015m12,.54688406
Rhone-Alpes,2016m1,.19071721
Rhone-Alpes,2016m2,.011954272
Rhone-Alpes,2016m3,.36419767
Rhone-Alpes,2016m4,-.43271327
Rhone-Alpes,2016m5,.4095065
Rhone-Alpes,2016m6,.2620374
Rhone-Alpes,2016m7,-1.6364105
Rhone-Alpes,2016m8,-1.3081855
Rhone-Alpes,2016m9,-.051187329
Rhone-Alpes,2016m10,.71765041
Rhone-Alpes,2016m11,1.1160662
Rhone-Alpes,2016m12,.016013801
Rhone-Alpes,2017m1,.30600974
Rhone-Alpes,2017m2,-.096667975
Rhone-Alpes,2017m3,.35896975
