date,cat_job_growth
2008m1,.9104495
2008m2,1.004203
2008m3,.8510329
2008m4,.6972203
2008m5,.5535768
2008m6,.6644361
2008m7,.5128264
2008m8,-.0877857
2008m9,-.3871769
2008m10,-.3759682
2008m11,-.3680023
2008m12,-.1968349
2009m1,-.1463206
2009m2,.1339569
2009m3,.2916364
2009m4,.1929731
2009m5,-.0316466
2009m6,-.5002334
2009m7,-.8340212
2009m8,-.7140747
2009m9,.0980936
2009m10,1.153447
2009m11,1.458123
2009m12,1.208491
2010m1,1.104833
2010m2,1.373567
2010m3,1.145607
2010m4,.9214583
2010m5,.5984591
2010m6,.3318145
2010m7,.2264383
2010m8,.4617952
2010m9,.8870072
2010m10,.925028
2010m11,.8809169
2010m12,.2644913
2011m1,-.0797237
2011m2,.1163953
2011m3,.119302
2011m4,-.0433206
2011m5,-.6052312
2011m6,-1.242281
2011m7,-1.501023
2011m8,-1.115277
2011m9,-.1528614
2011m10,.5663144
2011m11,.51269
2011m12,-.0892568
2012m1,-.5003977
2012m2,-.4280213
2012m3,-.4091409
2012m4,-.4854882
2012m5,-.8713626
2012m6,-1.150433
2012m7,-1.254278
2012m8,-.9722109
2012m9,-.4184744
2012m10,-.1608727
2012m11,-.2239041
2012m12,-.3874439
2013m1,-.4016436
2013m2,-.2942313
2013m3,-.3073747
2013m4,-.2499161
2013m5,-.2954253
2013m6,-.5632873
2013m7,-.922083
2013m8,-1.043008
2013m9,-.7773397
2013m10,-.4024238
2013m11,-.3487081
2013m12,-.5810342
2014m1,-.6554567
2014m2,-.3325306
2014m3,-.1461291
2014m4,-.1531266
2014m5,-.6058815
2014m6,-1.09612
2014m7,-1.312684
2014m8,-1.09837
2014m9,-.3782609
2014m10,.1149058
2014m11,.0255421
2014m12,-.3305342
2015m1,-.4004934
2015m2,.0379867
2015m3,.3546489
2015m4,.4682882
2015m5,.1503622
2015m6,-.0958027
2015m7,-.110747
2015m8,-.0424313
2015m9,.4282819
2015m10,.8769075
2015m11,.9556564
2015m12,.7860271
2016m1,.6358247
2016m2,.9099864
2016m3,1.10236
2016m4,1.664749
