date,swb_stress
2011m1,.5921212
2011m2,-.1788337
2011m3,-.5864022
2011m4,-.668161
2011m5,-.5510995
2011m6,-.2880587
2011m7,.2361425
2011m8,.4325794
2011m9,.5694502
2011m10,.5509653
2011m11,.1570478
2011m12,-.1525327
2012m1,-.3661354
2012m2,-.0636288
2012m3,.3336824
2012m4,.4007668
2012m5,.2630834
2012m6,.0267051
2012m7,-.0915425
2012m8,.0845927
2012m9,.7015874
2012m10,1.14445
2012m11,1.016593
2012m12,.1285136
2013m1,-.7942144
2013m2,-1.310517
2013m3,-1.41892
2013m4,-1.114762
2013m5,-.6223595
2013m6,-.1348778
2013m7,-.1975214
2013m8,-.0873325
2013m9,-.2970551
2013m10,-.8646554
2013m11,-1.62546
2013m12,-1.748742
2014m1,-1.418724
2014m2,-.8228204
2014m3,-.9281716
2014m4,-1.09814
2014m5,-1.10761
2014m6,-1.232209
2014m7,-1.226741
2014m8,-.8809357
2014m9,-.881945
2014m10,-1.111382
2014m11,-1.432155
2014m12,-1.260359
2015m1,-.7903251
2015m2,-.7702777
2015m3,-.7655483
2015m4,-.9097379
2015m5,-1.087558
2015m6,-.9094434
2015m7,-.3143416
2015m8,.0290011
2015m9,-.0229825
2015m10,-.2002257
2015m11,-.5382281
2015m12,-1.073775
2016m1,-1.25112
2016m2,-1.164161
2016m3,-1.112167
2016m4,-1.125289
