date,cat_healthy_habits
2008m1,.0602835
2008m2,-.341449
2008m3,-.8485947
2008m4,-1.225964
2008m5,-1.415876
2008m6,-1.236422
2008m7,-1.035543
2008m8,-1.048326
2008m9,-1.284635
2008m10,-1.356673
2008m11,-1.298038
2008m12,-.9511477
2009m1,-.3596666
2009m2,-.0813462
2009m3,.0042875
2009m4,-.1280659
2009m5,-.2916627
2009m6,-.0956127
2009m7,-.0154675
2009m8,-.1383962
2009m9,-.2135805
2009m10,-.1441938
2009m11,.2617735
2009m12,.8797549
2010m1,1.735802
2010m2,2.076373
2010m3,2.071877
2010m4,1.762661
2010m5,1.440328
2010m6,1.225606
2010m7,.9780656
2010m8,.71843
2010m9,.3748775
2010m10,-.026638
2010m11,-.0685716
2010m12,.2957697
2011m1,.9932814
2011m2,1.015756
2011m3,.8159564
2011m4,.6804538
2011m5,.5842996
2011m6,.5702305
2011m7,.3106574
2011m8,-.0696923
2011m9,-.3647512
2011m10,-.5989065
2011m11,-.4887417
2011m12,-.0193723
2012m1,.7640357
2012m2,1.043668
2012m3,.9613191
2012m4,.6640441
2012m5,.4847556
2012m6,.4871252
2012m7,.4258708
2012m8,.1163072
2012m9,-.3194155
2012m10,-.8297904
2012m11,-1.148594
2012m12,-.6912872
2013m1,.3646237
2013m2,.8957188
2013m3,.9913344
2013m4,.9170393
2013m5,.5639002
2013m6,.1892718
2013m7,-.2769735
2013m8,-.632862
2013m9,-.825783
2013m10,-1.018271
2013m11,-.9661784
2013m12,-.5237836
2014m1,.2124247
2014m2,.59135
2014m3,.6077126
2014m4,.5125306
2014m5,.4078506
2014m6,.3550258
2014m7,.012471
2014m8,-.4375218
2014m9,-.8378391
2014m10,-1.060999
2014m11,-1.001599
2014m12,-.5322557
2015m1,.2237266
2015m2,.5290046
2015m3,.6261744
2015m4,.4255987
2015m5,.1064649
2015m6,-.1083861
2015m7,-.3797051
2015m8,-.7535248
2015m9,-1.149936
2015m10,-1.440699
2015m11,-1.478884
2015m12,-1.078266
2016m1,-.279913
2016m2,.1888196
2016m3,.2825592
2016m4,.1125499
