date,cat_spirituality
2008m1,.3735882
2008m2,.7235808
2008m3,.8680637
2008m4,.8227318
2008m5,.1064407
2008m6,-.5054878
2008m7,-.6399865
2008m8,-.3815739
2008m9,.2645391
2008m10,.6448952
2008m11,.7004793
2008m12,.4691891
2009m1,.4040182
2009m2,.6186318
2009m3,.6942794
2009m4,.5186551
2009m5,-.0415982
2009m6,-.4697867
2009m7,-.4285024
2009m8,.1141572
2009m9,1.066675
2009m10,1.854958
2009m11,1.93541
2009m12,1.451516
2010m1,1.173599
2010m2,1.361084
2010m3,1.685991
2010m4,1.650404
2010m5,.9846525
2010m6,.3743039
2010m7,.1833544
2010m8,.5936964
2010m9,1.294174
2010m10,1.623106
2010m11,1.585638
2010m12,1.101043
2011m1,.6975657
2011m2,.678914
2011m3,.6567293
2011m4,.4608796
2011m5,-.0557542
2011m6,-.4883401
2011m7,-.5756297
2011m8,-.3561324
2011m9,.2173672
2011m10,.540419
2011m11,.5008556
2011m12,.2933985
2012m1,.2753884
2012m2,.3615146
2012m3,.2521916
2012m4,.0001343
2012m5,-.5432904
2012m6,-.8669383
2012m7,-.750885
2012m8,-.3236157
2012m9,.1281532
2012m10,.2489049
2012m11,-.0388976
2012m12,-.3583252
2013m1,-.2945506
2013m2,-.0495512
2013m3,-.0195192
2013m4,-.3197535
2013m5,-.9629377
2013m6,-1.502956
2013m7,-1.626843
2013m8,-1.238992
2013m9,-.6131372
2013m10,-.3618506
2013m11,-.3590317
2013m12,-.3524188
2014m1,-.3662087
2014m2,-.3286117
2014m3,-.4173684
2014m4,-.6438771
2014m5,-1.074488
2014m6,-1.344498
2014m7,-1.288058
2014m8,-.8473569
2014m9,-.3449627
2014m10,-.2670786
2014m11,-.4600891
2014m12,-.673123
2015m1,-.7086145
2015m2,-.6263105
2015m3,-.5906137
2015m4,-.740662
2015m5,-1.133375
2015m6,-1.409945
2015m7,-1.314596
2015m8,-.8467994
2015m9,-.2242869
2015m10,-.0472854
2015m11,-.2457262
2015m12,-.6664917
2016m1,-.8076982
2016m2,-.5816514
2016m3,-.2406196
2016m4,.2114094
