date,swb_security
2011m1,-.4303171
2011m2,.0138075
2011m3,.1199374
2011m4,.1040721
2011m5,.214404
2011m6,.3522722
2011m7,.2603208
2011m8,.2240146
2011m9,-.0752865
2011m10,-.4083863
2011m11,-.2414292
2011m12,.066011
2012m1,.5350949
2012m2,.9664018
2012m3,1.260178
2012m4,1.337555
2012m5,1.471149
2012m6,1.372749
2012m7,1.105034
2012m8,.799036
2012m9,.4105067
2012m10,.1552915
2012m11,.2554667
2012m12,.3491025
2013m1,.2100547
2013m2,.2911864
2013m3,.6922832
2013m4,1.348645
2013m5,1.919833
2013m6,2.327268
2013m7,2.47463
2013m8,2.257216
2013m9,1.725917
2013m10,1.131398
2013m11,.8075791
2013m12,.6043156
2014m1,.9344525
2014m2,1.477039
2014m3,1.86377
2014m4,1.93461
2014m5,2.046351
2014m6,2.0362
2014m7,1.988768
2014m8,1.968332
2014m9,1.89338
2014m10,1.884357
2014m11,2.029077
2014m12,1.968369
2015m1,1.888239
2015m2,2.110215
2015m3,2.542739
2015m4,2.667525
2015m5,2.460484
2015m6,2.034387
2015m7,1.56857
2015m8,1.520928
2015m9,1.549566
2015m10,1.725729
2015m11,1.792637
2015m12,1.946583
2016m1,2.267172
2016m2,2.432668
2016m3,2.178233
2016m4,1.552667
