date,swb_enjoyment
2008m1,-.7254231
2008m2,.0102035
2008m3,.4653107
2008m4,.6418942
2008m5,.6289771
2008m6,.6175245
2008m7,.6214815
2008m8,.5982241
2008m9,.3704455
2008m10,.0060738
2008m11,-.4439972
2008m12,-1.19863
2009m1,-2.038709
2009m2,-2.167996
2009m3,-1.619165
2009m4,-.7460799
2009m5,-.0498013
2009m6,.0610016
2009m7,-.0681505
2009m8,-.2512362
2009m9,-.3404398
2009m10,-.2223851
2009m11,-.1939202
2009m12,-.1116608
2010m1,-.2195498
2010m2,-.1054007
2010m3,.2267707
2010m4,.4797074
2010m5,.7190132
2010m6,.7080062
2010m7,.6562142
2010m8,.4652159
2010m9,.4260376
2010m10,.5417359
2010m11,.6844114
2010m12,.6979687
2011m1,.7590629
2011m2,.9429251
2011m3,1.091145
2011m4,1.246583
2011m5,1.546545
2011m6,1.551597
2011m7,1.351517
2011m8,1.080527
2011m9,1.19924
2011m10,1.32962
2011m11,1.436802
2011m12,1.370504
2012m1,1.265997
2012m2,1.495622
2012m3,1.746306
2012m4,1.873702
2012m5,1.818242
2012m6,1.615613
2012m7,1.459853
2012m8,1.21395
2012m9,1.168004
2012m10,1.219211
2012m11,1.203129
2012m12,1.064469
2013m1,.9483994
2013m2,1.101852
2013m3,1.284693
2013m4,1.486894
2013m5,1.645613
2013m6,1.699975
2013m7,1.545911
2013m8,1.249299
2013m9,1.136134
2013m10,1.174695
2013m11,1.226916
2013m12,1.113955
2014m1,.8802653
2014m2,.9783715
2014m3,1.214108
2014m4,1.612132
2014m5,1.849657
2014m6,1.765813
2014m7,1.541577
2014m8,1.404656
2014m9,1.667673
2014m10,1.946537
2014m11,1.951532
2014m12,1.600802
2015m1,1.205084
2015m2,1.325509
2015m3,1.730074
2015m4,2.009748
2015m5,2.193335
2015m6,2.107317
2015m7,1.793563
2015m8,1.527806
2015m9,1.663359
2015m10,1.806264
2015m11,1.983469
2015m12,1.904037
2016m1,1.662189
2016m2,1.634894
2016m3,1.527891
2016m4,1.381919
