date,swb_worry
2011m1,.7455921
2011m2,.5354441
2011m3,.2145099
2011m4,-.2403401
2011m5,-.7939706
2011m6,-.9397173
2011m7,-.3993273
2011m8,.5495738
2011m9,.974309
2011m10,.7785183
2011m11,.2196332
2011m12,-.112088
2012m1,-.0792472
2012m2,-.1435691
2012m3,-.4007633
2012m4,-.5613485
2012m5,-.6196182
2012m6,-.7104647
2012m7,-.7131312
2012m8,-.2700005
2012m9,.2957889
2012m10,.4849291
2012m11,.3128706
2012m12,-.2433098
2013m1,-.7906321
2013m2,-1.252047
2013m3,-1.467201
2013m4,-1.522276
2013m5,-1.637074
2013m6,-1.683938
2013m7,-1.617578
2013m8,-1.450803
2013m9,-1.338476
2013m10,-1.355066
2013m11,-1.466806
2013m12,-1.371449
2014m1,-1.000779
2014m2,-.9565861
2014m3,-1.234036
2014m4,-1.595962
2014m5,-2.024836
2014m6,-2.238323
2014m7,-2.194235
2014m8,-1.868951
2014m9,-1.564273
2014m10,-1.385593
2014m11,-1.347228
2014m12,-1.030281
2015m1,-.3957222
2015m2,-.2132321
2015m3,-.6581541
2015m4,-1.266355
2015m5,-2.050183
2015m6,-2.3563
2015m7,-1.922729
2015m8,-1.330634
2015m9,-.9776454
2015m10,-1.001439
2015m11,-1.378361
2015m12,-1.576074
2016m1,-1.464156
2016m2,-1.307511
2016m3,-1.309074
2016m4,-1.308393
