date,swb_stress
2008m1,-1.171805
2008m2,-.8566484
2008m3,-.515772
2008m4,-.3739656
2008m5,-.3767292
2008m6,-.2886725
2008m7,-.2592166
2008m8,-.1971143
2008m9,-.4903689
2008m10,-.4719913
2008m11,.0680179
2008m12,.4930694
2009m1,.5673434
2009m2,.1289791
2009m3,-.4803864
2009m4,-.5711104
2009m5,-.1962873
2009m6,-.0355255
2009m7,-.0119646
2009m8,.3762927
2009m9,.9874719
2009m10,1.21802
2009m11,.2433828
2009m12,-.6563293
2010m1,-1.289723
2010m2,-1.462056
2010m3,-1.54482
2010m4,-1.733562
2010m5,-1.764681
2010m6,-1.714778
2010m7,-1.647323
2010m8,-1.577637
2010m9,-1.465911
2010m10,-1.278049
2010m11,-.9690407
2010m12,-.6969494
2011m1,-.4638438
2011m2,-.2146278
2011m3,.294466
2011m4,.7362462
2011m5,.5271173
2011m6,.3822225
2011m7,.6232999
2011m8,.757461
2011m9,.8210115
2011m10,.9100516
2011m11,.7956203
2011m12,.4877042
2012m1,.2278675
2012m2,.2658242
2012m3,.3849171
2012m4,.4787324
2012m5,.38601
2012m6,.3373791
2012m7,.2992669
2012m8,.4493587
2012m9,.6253904
2012m10,.5514315
2012m11,.6317127
2012m12,.3234909
2013m1,.0210738
2013m2,.1028043
2013m3,.1914772
2013m4,.4937623
2013m5,.7160169
2013m6,.8780243
2013m7,1.036642
2013m8,1.033326
2013m9,.8709548
2013m10,.6778292
2013m11,.4413332
2013m12,.153946
2014m1,.0116772
2014m2,.1697361
2014m3,.3924479
2014m4,.4087931
2014m5,.3541831
2014m6,.7146854
2014m7,1.051342
2014m8,1.057382
2014m9,.8181967
2014m10,.6684404
2014m11,.7899199
2014m12,.8613647
2015m1,.6098691
2015m2,.3699864
2015m3,.2752222
2015m4,.1189449
2015m5,.0251129
2015m6,.1377341
2015m7,.3825622
2015m8,.6339853
2015m9,.8877603
2015m10,1.103203
2015m11,1.301392
2015m12,1.190948
2016m1,.8129856
2016m2,.8030709
2016m3,1.214349
2016m4,2.154027
