date,cat_financial_security
2011m1,.6902177
2011m2,.3454687
2011m3,-.0177994
2011m4,-.4389873
2011m5,-.843993
2011m6,-.7826696
2011m7,-.4979441
2011m8,-.3590091
2011m9,-.5678879
2011m10,-.9298935
2011m11,-1.37469
2011m12,-1.375453
2012m1,-.9208051
2012m2,-.5949699
2012m3,-.5930204
2012m4,-.8052783
2012m5,-1.000585
2012m6,-.9910092
2012m7,-.9375333
2012m8,-.9062867
2012m9,-.9259139
2012m10,-1.016059
2012m11,-1.051813
2012m12,-.5871423
2013m1,.2311577
2013m2,.4810584
2013m3,.3637265
2013m4,.0863192
2013m5,-.2623274
2013m6,-.4873182
2013m7,-.5955186
2013m8,-.6772252
2013m9,-.6573645
2013m10,-.5215336
2013m11,-.4583734
2013m12,-.1083168
2014m1,.544454
2014m2,.7089819
2014m3,.7058359
2014m4,.6197808
2014m5,.4470986
2014m6,.3879051
2014m7,.2825913
2014m8,-.0041348
2014m9,-.2907186
2014m10,-.4986761
2014m11,-.5221298
2014m12,-.1081151
2015m1,.7150008
2015m2,1.27172
2015m3,1.419227
2015m4,1.232172
2015m5,.9366359
2015m6,.8729188
2015m7,.8632882
2015m8,.6286185
2015m9,.2931925
2015m10,.1658612
2015m11,.1925083
2015m12,.6499975
2016m1,1.36608
2016m2,1.821634
2016m3,2.050943
2016m4,2.336103
