date,cat_layoffs
2011m1,1.392198
2011m2,1.836567
2011m3,1.744909
2011m4,1.238422
2011m5,.7959028
2011m6,.844495
2011m7,1.035314
2011m8,1.134866
2011m9,1.03834
2011m10,.9455018
2011m11,.9934615
2011m12,1.249104
2012m1,1.446167
2012m2,1.299288
2012m3,1.152791
2012m4,1.076667
2012m5,.6668157
2012m6,.0369056
2012m7,-.3133165
2012m8,-.1475533
2012m9,.4863757
2012m10,1.086174
2012m11,1.356593
2012m12,1.083658
2013m1,.8060668
2013m2,.2802742
2013m3,-.0744484
2013m4,-.2662127
2013m5,-.505429
2013m6,-.7750959
2013m7,-.929005
2013m8,-.8900639
2013m9,-.6920316
2013m10,-.4971285
2013m11,-.4570086
2013m12,-.2249202
2014m1,.0729995
2014m2,.0958893
2014m3,-.2424077
2014m4,-.5755934
2014m5,-.8898117
2014m6,-1.093933
2014m7,-1.155299
2014m8,-1.146047
2014m9,-1.021219
2014m10,-.8679719
2014m11,-.8393614
2014m12,-.7439978
2015m1,-.4990549
2015m2,-.4245819
2015m3,-.4699333
2015m4,-.7402206
2015m5,-1.019593
2015m6,-1.131838
2015m7,-1.108393
2015m8,-.9477463
2015m9,-.6618716
2015m10,-.4398147
2015m11,-.4586096
2015m12,-.4941251
2016m1,-.4695267
2016m2,-.5697984
2016m3,-.6801281
2016m4,-.7326575
