date,swb_sadness
2011m1,.3849342
2011m2,.4933587
2011m3,.4651802
2011m4,.4230082
2011m5,.2438565
2011m6,.1124657
2011m7,.1218066
2011m8,.3212225
2011m9,.6266698
2011m10,.4099313
2011m11,.1824973
2011m12,.0820629
2012m1,-.1515566
2012m2,-.4019761
2012m3,-.4079836
2012m4,-.2528045
2012m5,-.0355079
2012m6,-.016375
2012m7,.0455408
2012m8,.2681246
2012m9,.5178232
2012m10,.6738461
2012m11,1.03317
2012m12,1.098338
2013m1,.5587704
2013m2,.130382
2013m3,-.3198046
2013m4,-.6006738
2013m5,-.7000248
2013m6,-.8219649
2013m7,-.8131794
2013m8,-.4388253
2013m9,.0653898
2013m10,.2363265
2013m11,.4708812
2013m12,.2601803
2014m1,-.2228447
2014m2,-.8224087
2014m3,-1.04713
2014m4,-1.212514
2014m5,-1.060142
2014m6,-.7334309
2014m7,-.3336966
2014m8,.2510085
2014m9,.4365393
2014m10,.1977978
2014m11,-.0898792
2014m12,-.4437049
2015m1,-.8554515
2015m2,-1.218954
2015m3,-1.416936
2015m4,-1.491597
2015m5,-1.385731
2015m6,-1.457721
2015m7,-1.387398
2015m8,-.9977851
2015m9,-.5447041
2015m10,-.4236988
2015m11,-.4244084
2015m12,-.7649072
2016m1,-1.256908
2016m2,-1.729346
2016m3,-2.240958
2016m4,-3.388415
