date,cat_family_stress
2011m1,.5532613
2011m2,-.006118
2011m3,-.272683
2011m4,.1257305
2011m5,.8353447
2011m6,1.189351
2011m7,1.225976
2011m8,1.061148
2011m9,.3955041
2011m10,.1445993
2011m11,-.0358331
2011m12,-.4647019
2012m1,-.6891234
2012m2,-.7532352
2012m3,-.6854629
2012m4,-.4268492
2012m5,-.0972158
2012m6,.4215112
2012m7,1.117606
2012m8,1.206089
2012m9,.5076482
2012m10,-.3439773
2012m11,-.8595142
2012m12,-.8800407
2013m1,-.3433177
2013m2,-.2796051
2013m3,-.2801312
2013m4,-.1258845
2013m5,.0240857
2013m6,.3255235
2013m7,.9352731
2013m8,1.044497
2013m9,.360632
2013m10,-.4942428
2013m11,-1.134207
2013m12,-1.300849
2014m1,-.8404809
2014m2,-.3464161
2014m3,-.2347866
2014m4,-.3002765
2014m5,-.0676024
2014m6,.5032535
2014m7,.6588455
2014m8,.4208127
2014m9,-.1951537
2014m10,-.7663308
2014m11,-1.21892
2014m12,-1.1564
2015m1,-.7669923
2015m2,-.5646251
2015m3,-.3992372
2015m4,-.2120564
2015m5,.0755421
2015m6,.6786528
2015m7,1.240358
2015m8,1.350341
2015m9,.8422754
2015m10,.1669142
2015m11,-.2506872
2015m12,-.2919604
2016m1,-.1199582
2016m2,-.2073294
2016m3,-.084712
2016m4,.0861419
