date,swb_enjoyment
2008m1,-1.528209
2008m2,-1.211507
2008m3,-.5186588
2008m4,.007178
2008m5,.1862477
2008m6,.2887524
2008m7,.3051031
2008m8,-.035068
2008m9,-.1867106
2008m10,-.2612827
2008m11,-.3105911
2008m12,-.9348943
2009m1,-1.920064
2009m2,-2.356711
2009m3,-2.414443
2009m4,-1.982838
2009m5,-1.4957
2009m6,-1.065615
2009m7,-.4423316
2009m8,-.0348116
2009m9,-.0688028
2009m10,-.7609126
2009m11,-1.086617
2009m12,-1.222758
2010m1,-1.663047
2010m2,-1.598798
2010m3,-.8395744
2010m4,.1429921
2010m5,.1872174
2010m6,-.4327562
2010m7,-1.391562
2010m8,-2.142951
2010m9,-2.557683
2010m10,-2.244575
2010m11,-1.590728
2010m12,-.6104647
2011m1,-.3466806
2011m2,-.1041653
2011m3,.0052897
2011m4,-.1717068
2011m5,-.2556476
2011m6,-.3423285
2011m7,-.6686198
2011m8,-.8794254
2011m9,-.6441513
2011m10,-.2687238
2011m11,-.2983172
2011m12,-.6102607
2012m1,-.8273466
2012m2,-.5019229
2012m3,-.2339392
2012m4,-.1221208
2012m5,-.3557835
2012m6,-.5254781
2012m7,-.7153927
2012m8,-.9784042
2012m9,-1.018488
2012m10,-.5587219
2012m11,-.2517338
2012m12,-.1810431
2013m1,-.3462398
2013m2,-.3562234
2013m3,-.0620531
2013m4,.1663973
2013m5,.1629601
2013m6,.0373714
2013m7,-.0386851
2013m8,-.223833
2013m9,-.1345077
2013m10,.0729933
2013m11,.0783211
2013m12,-.0322526
2014m1,-.1373095
2014m2,.0421795
2014m3,.2612919
2014m4,.509447
2014m5,.5061632
2014m6,.2667208
2014m7,-.0589943
2014m8,-.3470513
2014m9,-.4005834
2014m10,-.3891908
2014m11,-.3421142
2014m12,-.3921339
2015m1,-.2527882
2015m2,.3258628
2015m3,.7190061
2015m4,.8083505
2015m5,.5943875
2015m6,.1389434
2015m7,-.3925509
2015m8,-.5929485
2015m9,-.2654446
2015m10,-.0058068
2015m11,.0960065
2015m12,.0122219
2016m1,-.1516267
2016m2,-.0635791
2016m3,.1822255
2016m4,.3080013
