date,swb_security
2008m1,.2092533
2008m2,.0115696
2008m3,-.0863158
2008m4,-.2373428
2008m5,-.417172
2008m6,-.1114591
2008m7,.3439448
2008m8,.7052003
2008m9,.4919105
2008m10,.2192774
2008m11,-.1907126
2008m12,-.5832564
2009m1,-.4207182
2009m2,-.057995
2009m3,.0727438
2009m4,.1551611
2009m5,.2439837
2009m6,.8809414
2009m7,1.429877
2009m8,1.102319
2009m9,.1912587
2009m10,-.1092539
2009m11,.2267672
2009m12,.4505809
2010m1,.4653445
2010m2,.3628627
2010m3,.3616479
2010m4,-.0554698
2010m5,-.6257327
2010m6,-.6585323
2010m7,-.475753
2010m8,-.3845879
2010m9,-.5666149
2010m10,-.4583895
2010m11,-.1201648
2010m12,.0006773
2011m1,.2828192
2011m2,.6119173
2011m3,.7209381
2011m4,.6914069
2011m5,.8412882
2011m6,.9346563
2011m7,.9310225
2011m8,1.058591
2011m9,.9903761
2011m10,.9417525
2011m11,.8752916
2011m12,.7189562
2012m1,.8597817
2012m2,1.259151
2012m3,1.664388
2012m4,1.791989
2012m5,1.510238
2012m6,1.32214
2012m7,1.078366
2012m8,.8687986
2012m9,.7355502
2012m10,.7373121
2012m11,.6245336
2012m12,.4889228
2013m1,.5461565
2013m2,.7001319
2013m3,.984103
2013m4,1.255152
2013m5,1.399809
2013m6,1.40062
2013m7,1.261702
2013m8,1.182098
2013m9,.8319035
2013m10,.6607152
2013m11,.7626993
2013m12,.8315187
2014m1,1.23006
2014m2,1.66383
2014m3,1.833664
2014m4,1.863109
2014m5,1.691027
2014m6,1.512265
2014m7,1.493761
2014m8,1.656105
2014m9,1.79686
2014m10,1.783044
2014m11,1.698502
2014m12,1.439913
2015m1,1.373279
2015m2,1.755292
2015m3,2.111408
2015m4,2.258905
2015m5,2.112171
2015m6,1.830127
2015m7,1.597878
2015m8,1.732852
2015m9,2.104836
2015m10,2.213023
2015m11,2.104858
2015m12,2.047086
2016m1,2.162832
2016m2,2.278894
2016m3,2.192183
2016m4,2.130674
